file_name, filter_, image_size, camera, center_ra(deg), center_dec(deg), width_ra('), width_dec('), jd, exp_time(s), ccd_temp(C)
19970414_1420_14.72.fits,14.72,"(2048, 15000)",Loral1,214.99907349,33.0058016003,148.374980503,20.3159887228,2450552.82828,30720.0,-33.15
19970603_1420_14.72.fits,14.72,"(2048, 15000)",Loral1,215.003164577,33.0009449133,148.372883159,20.3159887228,2450602.69178,30720.0,-33.15
19970414_1630_14.72.fits,14.72,"(2048, 15000)",Loral1,247.503165104,33.0138483158,148.374770761,20.3159887228,2450552.91833,30720.0,-33.15
19970408_1220_14.72.fits,14.72,"(2048, 15000)",Loral1,184.998959298,33.0049865728,148.372883184,20.3150304214,2450546.76154,30720.0,-33.15
19970409_1200_14.72.fits,14.72,"(2048, 15000)",Loral1,179.999095355,33.002144014,148.377706997,20.3159887228,2450547.74496,30720.0,-33.15
19970409_1410_14.72.fits,14.72,"(2048, 15000)",Loral1,212.499066441,33.0061207016,148.373931818,20.3159887228,2450547.83501,30720.0,-33.15
19970414_1200_14.72.fits,14.72,"(2048, 15000)",Loral1,179.999104177,33.0013575423,148.372883184,20.3159887228,2450552.73131,30720.0,-33.15
19970410_1630_14.72.fits,14.72,"(2048, 15000)",Loral1,247.499076835,33.014852174,148.374770761,20.3150304214,2450548.92924,30720.0,-33.15
19970414_1600_14.72.fits,14.72,"(2048, 15000)",Loral1,239.999027164,33.0117786555,148.374980478,20.3159887228,2450552.89754,30720.0,-33.15
19970414_1040_14.72.fits,14.72,"(2048, 15000)",Loral1,159.999063356,33.0014567798,148.374770761,20.3159887228,2450552.67589,30720.0,-33.15
19970414_1150_14.72.fits,14.72,"(2048, 15000)",Loral1,177.499119575,33.0012600174,148.372673442,20.3159887228,2450552.72438,30720.0,-33.15
19970603_1810_14.72.fits,14.72,"(2048, 15000)",Loral1,272.499013177,33.0162001213,148.372883159,20.3159887228,2450602.85106,30720.0,-33.15
19970410_1330_14.72.fits,14.72,"(2048, 15000)",Loral1,202.498942586,33.0046310514,148.792557118,20.3150304214,2450548.80457,30720.0,-33.15
19970409_1710_14.72.fits,14.72,"(2048, 15000)",Loral1,257.503194567,33.0174472587,148.372883184,20.3159887228,2450547.95968,30720.0,-33.15
19970414_1730_14.72.fits,14.72,"(2048, 15000)",Loral1,262.503285531,33.0181473409,148.372673442,20.3159887228,2450552.95988,30720.0,-33.15
19970414_0910_14.72.fits,14.72,"(2048, 15000)",Loral1,137.499062379,33.0039009418,148.372883184,20.3159887228,2450552.61355,30720.0,-33.15
19970409_1640_14.72.fits,14.72,"(2048, 15000)",Loral1,250.003254901,33.0153164039,148.372883184,20.3159887228,2450547.93891,30720.0,-33.15
19970603_1620_14.72.fits,14.72,"(2048, 15000)",Loral1,244.999056391,33.0080731092,148.374980503,20.3159887228,2450602.77488,30720.0,-33.15
19970409_1230_14.72.fits,14.72,"(2048, 15000)",Loral1,187.499128633,33.002632856,148.374980503,20.3159887228,2450547.76574,30720.0,-33.15
19970409_1630_14.72.fits,14.72,"(2048, 15000)",Loral1,247.499081904,33.0146146351,148.3730929,20.3159887228,2450547.93197,30720.0,-33.15
19970409_1120_14.72.fits,14.72,"(2048, 15000)",Loral1,169.999075647,33.0019236577,148.374980503,20.3159887228,2450547.71725,30720.0,-33.15
19970410_1320_14.72.fits,14.72,"(2048, 15000)",Loral1,199.998933074,33.0042661351,148.3730929,20.3150304214,2450548.79764,30720.0,-33.15
19970410_1110_14.72.fits,14.72,"(2048, 15000)",Loral1,167.499106972,33.0021827227,148.373512384,20.3150304214,2450548.7076,30720.0,-33.15
19970410_1430_14.72.fits,14.72,"(2048, 15000)",Loral1,217.503179939,33.0073518345,148.372883184,20.3150304214,2450548.84614,30720.0,-33.15
19970414_1440_14.72.fits,14.72,"(2048, 15000)",Loral1,219.998994753,33.0068494169,148.374980503,20.3159887228,2450552.84213,30720.0,-33.15
19970603_1250_14.72.fits,14.72,"(2048, 15000)",Loral1,192.499097386,32.997926311,148.374980478,20.3159887228,2450602.62942,30720.0,-33.15
19970408_1300_14.72.fits,14.72,"(2048, 15000)",Loral1,195.003201405,33.005939435,148.372883184,20.3150304214,2450546.78926,30720.0,-33.15
19970409_1800_14.72.fits,14.72,"(2048, 15000)",Loral1,269.999002503,33.0210130555,148.372883159,20.3159887228,2450547.9943,30720.0,-33.15
